Region Name,Region Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Human Development Index,IDX.HDI,..,..,..,..,65.87778,66.86649,67.52173,68.36661,69.38033,..,..,70.95,..,72.07,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Morbidity Rate (in %),SH.MORB.ZS,..,..,..,..,29.19532,..,33.22042,35.90795,31.811,29.2377,30.0167,33.93033,30.5736273527145,29.909548163414,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Net Enrollment Ratio: Primary (in %),SE.PRM.NENR.ZS,..,..,..,..,94.65,..,94.89,94.34,96.21,96.55,98.32,86.16,90.96,95.395058,97.03
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Net Enrollment Ratio: Junior Secondary (in %),SE.JRSEC.NENR.ZS,..,..,..,..,74.33,..,69.13,76.71,80.7,65.59,75.62,68.52,78.25,87.201385,87.02
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Net Enrollment Ratio: Senior Secondary (in %),SE.SRSEC.NENR.ZS,..,..,..,..,54.23,..,52.97,61.7,62.9,65.55,67.8,65.99,60.86,63.46043,72.64
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Number of hospitals,SH.HOSP.TOTL,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Number of Doctors,SH.DR.TOTL,..,..,..,13,..,18,..,..,6,..,..,26,..,..,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Number of Midwives,SH.MED.MWIV.TOTL,..,..,..,108,..,97,..,..,96,..,..,191,..,..,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Number of Puskesmas and its line services,SH.PUSKESMAS.TOTL,..,..,..,35,..,33,..,..,..,..,..,37,..,..,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Number of Polindes (Poliklinik Desa/Village Polyclinic),SH.POLINDES.TOTL,..,..,..,116,..,107,..,..,75,..,..,19,..,..,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Number of schools at junior secondary level,SE.SCHL.JRSEC,..,..,..,16,..,22,..,..,12,..,..,29,..,..,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Number of schools at primary level,SE.SCHL.PRM,..,..,..,117,..,120,..,..,66,..,..,125,..,..,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Number of schools at Senior Secondary level,SE.SCHL.SRSEC,..,..,..,10,..,11,..,..,10,..,..,21,..,..,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Poverty Line (in IDR),SI.POV.NAPL,..,..,..,..,..,146135,176979,198562,231460,231758,252217,274089,276324,283117,288713
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Poverty Rate (in % of population),SI.POV.NAPR.ZS,..,..,..,27.72,27.98,27.71,28.3,28.63,23.42,21.33,19.93,19.49,18.51,18.92,17.99
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Poverty Gap (index),SI.POV.NGAP,..,..,..,5.2,4.86,6.83,5.42,4.87,3.72,3.06,3.31,2.63,2.34,2.64,2.58
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Total Population (in number of people),SP.POP.TOTL,..,..,..,115358,111366,112230,119397,121302,123101,124813,126036,129708,132612,135385,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Villages with road: Asphalt (in % of total villages),ROD.VILG.ASPH.ZS,..,..,..,83.72,..,80.62,..,..,67.42,..,..,73.28767,..,..,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Villages with road: Dirt (in % of total villages),ROD.VILG.DIRT.ZS,..,..,..,2.33,..,4.65,..,..,3.79,..,..,2.739726,..,..,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Villages with road: Gravel (in % of total villages),ROD.VILG.GRAVL.ZS,..,..,..,13.18,..,14.73,..,..,28.79,..,..,23.9726,..,..,..
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,Villages with road: Other (in % of total villages),ROD.VILG.OTHR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Human Development Index,IDX.HDI,..,..,..,..,66.67713,67.4358,68.08009,69.28123,69.66319,..,..,71.2,..,72.24,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Morbidity Rate (in %),SH.MORB.ZS,..,..,..,20.64202,32.03152,..,28.0538,42.79228,31.97134,27.13197,29.98806,35.01794,23.5453695058823,24.8722642660141,..
